#,Scenario,corr_delta_kappa,se_corr_null,corr_delta_turnover,corr_kappa_turnover,corr_delta_retgross,corr_turnover_retgross
1,Null,,0.03167031776097682,,,,-0.012148393694444337
2,"Disposition only, low",,0.03167031776097682,0.13623402580572075,,-0.016080215028830055,0.15498594983387867
3,"Disposition only, high",,0.03167031776097682,-0.11245391936391656,,-0.026177126846260577,0.3974930096763335
4,"Turnover only, low",,0.03167031776097682,,0.9388898680741831,,-0.024356257411433265
5,"Turnover only, high",,0.03167031776097682,,0.8591601840662104,,-0.020364243448960102
6,Both active,-0.040476893593318075,0.03167031776097682,-0.6165065927836544,0.5881853583097758,0.01336722658950975,0.28036284042578047
7,Rebalancing confound,,0.03167031776097682,,,,0.022154380158734926
8,Mean-reversion confound,,0.03167031776097682,,,,0.14229530042734814
